iter	MultiClass
212	0.1458436443
213	0.1455202294
214	0.1450914694
215	0.1448036443
216	0.1445138261
217	0.1435497643
218	0.1430439297
219	0.1426901671
220	0.1423357471
221	0.1420421385
222	0.1415332513
223	0.1411257408
224	0.1409408934
225	0.1404710939
226	0.1397093727
227	0.1393579976
228	0.1388647626
229	0.1385642754
230	0.1382325889
231	0.1378844523
232	0.1372985931
233	0.1366292745
234	0.1363696964
235	0.1359491226
236	0.1357743471
237	0.1354299505
238	0.1345420073
239	0.133609523
240	0.1333670945
241	0.133152502
242	0.1327736877
243	0.132444527
244	0.1321688326
245	0.1317910551
246	0.1314673529
247	0.1312831623
248	0.1310623696
249	0.1308950883
250	0.1304447358
251	0.1298622945
252	0.1295639779
253	0.1293174914
254	0.1291136008
255	0.128952764
256	0.1285474569
257	0.1281000594
258	0.1278892028
259	0.1276459431
260	0.1275360272
261	0.1273668949
262	0.1272214859
263	0.1267895958
264	0.126228013
265	0.1256382398
266	0.1250978077
267	0.1246911445
268	0.124205912
269	0.1239022097
270	0.1236117012
271	0.1233571492
272	0.1230991903
273	0.1226100995
274	0.122225761
275	0.1214827477
276	0.1210974697
277	0.1208160097
278	0.1204769616
279	0.1201346367
280	0.1199114951
281	0.1196201148
282	0.1192287274
283	0.1190154229
284	0.1187592161
285	0.1185864269
286	0.1177700987
287	0.1174295868
288	0.1172466819
289	0.1168397902
290	0.1164589861
291	0.1163275236
292	0.1159513519
293	0.1155878148
294	0.1149748569
295	0.1147937443
296	0.1144476955
297	0.1142259834
298	0.1139920489
299	0.1137757605
300	0.1136180214
301	0.1132627497
302	0.1125751053
303	0.1123805509
304	0.1121726389
305	0.1120346842
306	0.1118612831
307	0.1116019521
308	0.1113520321
309	0.1111755906
310	0.1109427875
311	0.1106798797
312	0.1103715457
313	0.1101689741
314	0.1095759956
315	0.1093105495
316	0.109195247
317	0.1089783183
318	0.1088032374
319	0.1085012361
320	0.1082320351
321	0.1080171222
322	0.1078120251
323	0.1069864131
324	0.1067417121
325	0.1065247693
326	0.1063123466
327	0.1059160859
328	0.1055879895
329	0.105412619
330	0.1051471532
331	0.1049431602
332	0.1047340691
333	0.104463767
334	0.1041695885
335	0.1039691428
336	0.1039239307
337	0.1038102981
338	0.1035511843
339	0.1032187458
340	0.1030297167
341	0.1028754459
342	0.1026515057
343	0.1024846776
344	0.1022722513
345	0.1020415453
346	0.1018421237
347	0.1015213086
348	0.1012796218
349	0.1010450543
350	0.1008447181
351	0.1007015374
352	0.1005203747
353	0.0999680053
354	0.09973336138
355	0.09936282017
356	0.09916430846
357	0.09903955038
358	0.09890891085
359	0.09873071653
360	0.09854199766
361	0.09837076309
362	0.09780408488
363	0.09769764577
364	0.09734570268
365	0.09718037631
366	0.09700298763
367	0.09677966472
368	0.09661960478
369	0.09640081442
370	0.09626970779
371	0.09599098341
372	0.09584512699
373	0.09526434205
374	0.09505382801
375	0.09486081167
376	0.09476185979
377	0.09448569349
378	0.09434342123
379	0.09402180037
380	0.09374099694
381	0.09358317691
382	0.09346887859
383	0.09330117195
384	0.09310127472
385	0.0929494564
386	0.09254435237
387	0.09239792573
388	0.09212908551
389	0.0918005604
390	0.09165997926
391	0.09155820724
392	0.09133252892
393	0.09113827112
394	0.0906818616
395	0.09025280714
396	0.09010604651
397	0.08999554911
398	0.08986599276
399	0.08975721901
